instance_id,repo,pr_number,pr_url,source,author_type,agent_name,agent_tool,task_type,language,outcome,sample_split,created_at,changed_file_count,commit_count,comment_count,review_count,artifact_completeness,eligibility,eligibility_reason,size_tercile,sampling_weight
pop_0x4D31_galah_21,0x4D31/galah,21,https://github.com/0x4D31/galah/pull/21,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Go,closed_unmerged,test,2025-05-17T09:05:23Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_0x80_isolate-package_135,0x80/isolate-package,135,https://github.com/0x80/isolate-package/pull/135,aidev_curated_export,ai_authored,cursor,Cursor,unknown,TypeScript,merged,test,2025-07-13T20:31:33Z,6,4,0,0,metadata_text_counts,eligible,eligible,medium,24.934426
pop_0x80_isolate-package_137,0x80/isolate-package,137,https://github.com/0x80/isolate-package/pull/137,aidev_curated_export,ai_authored,cursor,Cursor,unknown,TypeScript,open,test,2025-07-13T22:03:19Z,4,5,0,0,metadata_text_counts,eligible,eligible,medium,24.934426
pop_514-labs_moose_2434,514-labs/moose,2434,https://github.com/514-labs/moose/pull/2434,aidev_curated_export,ai_authored,copilot,Copilot,unknown,Rust,merged,test,2025-06-09T20:53:56Z,5,2,3,2,metadata_text_counts,eligible,eligible,medium,56.697674
pop_567-labs_instructor_1754,567-labs/instructor,1754,https://github.com/567-labs/instructor/pull/1754,aidev_curated_export,ai_authored,claude_code,Devin,unknown,Python,open,test,2025-07-29T17:41:08Z,4,2,2,3,metadata_text_counts,eligible,eligible,medium,9.537037
pop_Albeoris_Memoria_1133,Albeoris/Memoria,1133,https://github.com/Albeoris/Memoria/pull/1133,aidev_curated_export,ai_authored,copilot,Copilot,unknown,C#,merged,test,2025-06-08T01:28:44Z,1,3,0,0,metadata_text_counts,eligible,eligible,small,56.697674
pop_Arenukvern_mcp_flutter_46,Arenukvern/mcp_flutter,46,https://github.com/Arenukvern/mcp_flutter/pull/46,aidev_curated_export,ai_authored,cursor,Cursor,unknown,JavaScript,merged,test,2025-05-31T13:13:24Z,9,1,3,1,metadata_text_counts,eligible,eligible,large,24.934426
pop_Arize-ai_phoenix_8660,Arize-ai/phoenix,8660,https://github.com/Arize-ai/phoenix/pull/8660,aidev_curated_export,ai_authored,cursor,Cursor,unknown,Jupyter Notebook,merged,test,2025-07-19T06:08:17Z,6,2,1,1,metadata_text_counts,eligible,eligible,medium,24.934426
pop_AzureAD_microsoft-authentication-library-for-js_7878,AzureAD/microsoft-authentication-library-for-js,7878,https://github.com/AzureAD/microsoft-authentication-library-for-js/pull/7878,aidev_curated_export,ai_authored,copilot,Copilot,unknown,TypeScript,open,test,2025-06-30T19:04:39Z,99,7,9,3,metadata_text_counts,eligible,eligible,large,56.697674
pop_Azure_autorest.typescript_3272,Azure/autorest.typescript,3272,https://github.com/Azure/autorest.typescript/pull/3272,aidev_curated_export,ai_authored,copilot,Copilot,unknown,TypeScript,closed_unmerged,test,2025-06-12T11:15:24Z,16,4,0,0,metadata_text_counts,eligible,eligible,large,56.697674
pop_Azure_azqr_490,Azure/azqr,490,https://github.com/Azure/azqr/pull/490,aidev_curated_export,ai_authored,copilot,Copilot,unknown,Go,merged,test,2025-07-01T16:21:40Z,5,5,0,5,metadata_text_counts,eligible,eligible,medium,56.697674
pop_Azure_azure-functions-core-tools_4446,Azure/azure-functions-core-tools,4446,https://github.com/Azure/azure-functions-core-tools/pull/4446,aidev_curated_export,ai_authored,copilot,Copilot,unknown,C#,closed_unmerged,test,2025-05-27T22:35:47Z,2,4,2,0,metadata_text_counts,eligible,eligible,small,56.697674
pop_Azure_azure-sdk-for-java_45796,Azure/azure-sdk-for-java,45796,https://github.com/Azure/azure-sdk-for-java/pull/45796,aidev_curated_export,ai_authored,copilot,Copilot,unknown,Java,closed_unmerged,test,2025-06-23T21:20:04Z,4,4,0,0,metadata_text_counts,eligible,eligible,medium,56.697674
pop_Azure_azure-sdk-for-python_41490,Azure/azure-sdk-for-python,41490,https://github.com/Azure/azure-sdk-for-python/pull/41490,aidev_curated_export,ai_authored,copilot,Copilot,unknown,Python,closed_unmerged,test,2025-06-09T20:35:54Z,1,2,0,0,metadata_text_counts,eligible,eligible,small,56.697674
pop_Azure_azure-sdk-for-python_42067,Azure/azure-sdk-for-python,42067,https://github.com/Azure/azure-sdk-for-python/pull/42067,aidev_curated_export,ai_authored,copilot,Copilot,unknown,Python,merged,test,2025-07-17T03:34:46Z,1,2,1,5,metadata_text_counts,eligible,eligible,small,56.697674
pop_Azure_azure-sdk-tools_10837,Azure/azure-sdk-tools,10837,https://github.com/Azure/azure-sdk-tools/pull/10837,aidev_curated_export,ai_authored,copilot,Copilot,unknown,C#,closed_unmerged,test,2025-06-09T20:43:57Z,23,3,1,2,metadata_text_counts,eligible,eligible,large,56.697674
pop_Azure_fleet_1132,Azure/fleet,1132,https://github.com/Azure/fleet/pull/1132,aidev_curated_export,ai_authored,copilot,Copilot,unknown,Go,open,test,2025-05-21T07:06:59Z,14,5,0,7,metadata_text_counts,eligible,eligible,large,56.697674
pop_BeehiveInnovations_zen-mcp-server_95,BeehiveInnovations/zen-mcp-server,95,https://github.com/BeehiveInnovations/zen-mcp-server/pull/95,aidev_curated_export,ai_authored,claude_code,Claude_Code,unknown,Python,merged,test,2025-06-20T19:55:08Z,98,27,0,2,metadata_text_counts,eligible,eligible,large,9.537037
pop_BerriAI_litellm_12304,BerriAI/litellm,12304,https://github.com/BerriAI/litellm/pull/12304,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-07-03T23:57:55Z,1,1,1,0,metadata_text_counts,eligible,eligible,small,102.841860
