category,source_type,count
intent,pr_title,500
requirement_traceability,pr_body,144
requirement_traceability,heuristic,356
test_rationale,pr_body,387
test_rationale,changed_file,22
test_rationale,heuristic,91
regression_safety,pr_body,14
regression_safety,heuristic,486
risk_analysis,pr_body,105
risk_analysis,heuristic,395
scope_justification,pr_body,15
scope_justification,changed_file,478
scope_justification,heuristic,7
change_summary,changed_file,493
change_summary,commit,7
agent_trace,heuristic,500
limitations,pr_body,31
limitations,heuristic,469
reviewer_actionability,pr_body,46
reviewer_actionability,heuristic,454
ownership_handoff,pr_body,89
ownership_handoff,heuristic,411
dependency_evidence,changed_file,70
dependency_evidence,heuristic,430
rationale_evidence,pr_body,61
rationale_evidence,heuristic,439
